Ontology,Input,Operazione,Esito,Costrutto,Messaggio
00022.owl,MIS_128,parse,OK,,
00022.owl,functional,render,OK,,
00022.owl,std,parse,OK,,
00141.owl,MIS_128,parse,OK,,
00141.owl,functional,render,OK,,
00141.owl,std,parse,OK,,
00280.owl,MIS_128,parse,OK,,
00280.owl,functional,render,OK,,
00280.owl,std,parse,OK,,
00384.owl,MIS_128,parse,OK,,
00384.owl,functional,render,OK,,
00384.owl,std,parse,OK,,
00456.owl,MIS_128,parse,OK,,
00456.owl,functional,render,OK,,
00456.owl,std,parse,OK,,
00496.owl,MIS_128,parse,OK,,
00496.owl,functional,render,OK,,
00496.owl,std,parse,OK,,
00516.owl,MIS_128,parse,OK,,
00516.owl,functional,render,OK,,
00516.owl,std,parse,OK,,
00535.owl,MIS_128,parse,OK,,
00535.owl,functional,render,OK,,
00535.owl,std,parse,OK,,
00536.owl,MIS_128,parse,OK,,
00536.owl,functional,render,OK,,
00536.owl,std,parse,OK,,
00597.owl,MIS_128,parse,OK,,
00597.owl,functional,render,OK,,
00597.owl,std,parse,OK,,
00606.owl,MIS_128,parse,OK,,
00606.owl,functional,render,OK,,
00606.owl,std,parse,OK,,
04c0c4ef-e210-41a7-b86b-1f945045bc8f_kupocells.owl,MIS_128,parse,OK,,
04c0c4ef-e210-41a7-b86b-1f945045bc8f_kupocells.owl,functional,render,OK,,
04c0c4ef-e210-41a7-b86b-1f945045bc8f_kupocells.owl,std,parse,OK,,
061ac8ca-5542-4610-ad64-0b21975d6fe4_enotype_xp.obo,MIS_128,parse,OK,,
061ac8ca-5542-4610-ad64-0b21975d6fe4_enotype_xp.obo,functional,render,OK,,
061ac8ca-5542-4610-ad64-0b21975d6fe4_enotype_xp.obo,std,parse,OK,,
0ccf0454-d777-4fec-b1cc-03b5a300824d_chemtop.owl,MIS_128,parse,OK,,
0ccf0454-d777-4fec-b1cc-03b5a300824d_chemtop.owl,functional,render,OK,,
0ccf0454-d777-4fec-b1cc-03b5a300824d_chemtop.owl,std,parse,OK,,
0edc7fed-a5da-49fa-878f-1854501a1f1e_prerelease.obo,MIS_128,parse,OK,,
0edc7fed-a5da-49fa-878f-1854501a1f1e_prerelease.obo,functional,render,OK,,
0edc7fed-a5da-49fa-878f-1854501a1f1e_prerelease.obo,std,parse,OK,,
0f50cfb0-4be7-4239-8816-b5e06f63beb7_erativeOCL.owl,MIS_128,parse,OK,,
